链接标题,内容摘要,来源贴吧,最近回复用户名,最近回复时间,链接地址,主题帖包含图片链接,主题帖内容,图片本地存储地址
这个是钓鱼短信吗?,如图,技,江湖丿听书人,2021-08-15 08:46,https://tieba.baidu.com/p/7494990878?pid=140824503276&cid=0#140824503276,['http://tiebapic.baidu.com/forum/w%3D580/sign=109d515bc239b6004dce0fbfd9513526/0a87377adab44aed2b20ec5ca41c8701a08bfbbf.jpg'],"['如图', 'dd', 'dd', 'dd', 'dd', 'dd', 'dd']",['../../results\\钓鱼短信\\images\\江湖丿听书人.jpg']
这是钓鱼短信吗?是的话咋没有链接,这是吗?是的话咋没有链接,lol,备胎都算不上啊,2020-10-16 12:32,https://tieba.baidu.com/p/7022312529?pid=135714021316&cid=0#135714021316,"['http://tiebapic.baidu.com/forum/w%3D580/sign=26fbaa0de1246b607b0eb27cdbf91a35/a106fff2b2119313288c0bee72380cd790238d63.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=1dec6c3fe4deb48ffb69a1d6c01f3aef/eb9db83eb13533fa629d6570bfd3fd1f41345b0f.jpg']","['这是钓鱼短信吗？是的话咋没有链接', '下个猫眼看一下就知道了 应该是真的', '', '你好 是的 近期诈骗短信较多，请不要相信。', '对的 诈骗信息不要信', '顶', '查过了是真的', '对的 诈骗信息不要信', '假的，这个是诈骗网站。请及时删除请不要相信', '兄弟们开喷', '你这id就尼玛离谱', '这id昨天刚看过，你这']","['../../results\\钓鱼短信\\images\\备胎都算不上啊-0.jpg', '../../results\\钓鱼短信\\images\\备胎都算不上啊-1.jpg']"
回复:这个是真的优购福利还是钓鱼短信?,出首批的95新lg屏8+256白色全套配件,华为mate40pro,First绝,2021-02-05 18:43,https://tieba.baidu.com/p/7218749619?pid=137808956454&cid=0#137808956454,"['http://tiebapic.baidu.com/forum/w%3D580/sign=04b063d149df8db1bc2e7c6c3922dddb/04c0bbf4e0fe9925e4e10b1923a85edf8fb171f0.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=f3e6e9707c63f6241c5d390bb745eb32/4ce79af2d7ca7bcb0bbfa566a9096b63f424a899.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=4f15dd6a742762d0803ea4b790ed0849/3438f4d8f2d3572cf726fe959d13632760d0c39a.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=b2fc4aec1d7b02080cc93fe952d8f25f/21d97f25b899a90190f2397f0a950a7b0008f59b.jpg']","['今天下午收到的，是跟优购码一样的东西吗？', '现在看着手上某🐟淘的首发钻排机器，我陷入了沉思6999淘的首发+一年碎屏险。', '应该是吧我也收到了 可惜不是40', '同样揭阳的，同样下午收到信息', '出首批的95新lg屏8+256白色全套配件', '我6600淘的lg白色12月激活加碎屏险', '我也收到了', '我2月5号也收到了，，，下单了，，但还没发货，估计年前发不了货了。。']","['../../results\\钓鱼短信\\images\\幸运的公交车的-0.jpg', '../../results\\钓鱼短信\\images\\幸运的公交车的-1.jpg', '../../results\\钓鱼短信\\images\\幸运的公交车的-2.jpg', '../../results\\钓鱼短信\\images\\幸运的公交车的-3.jpg']"
回复:这个是真的优购福利还是钓鱼短信?,"前段时间抢40RS抢不到,后来也发了这些信息直接购买,方便,华为对待老客户还是不错的",华为mate40pro,掉坑里的53度,2021-02-05 16:45,https://tieba.baidu.com/p/7218749619?pid=137807168387&cid=137807345717#137807345717,"['http://tiebapic.baidu.com/forum/w%3D580/sign=04b063d149df8db1bc2e7c6c3922dddb/04c0bbf4e0fe9925e4e10b1923a85edf8fb171f0.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=f3e6e9707c63f6241c5d390bb745eb32/4ce79af2d7ca7bcb0bbfa566a9096b63f424a899.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=4f15dd6a742762d0803ea4b790ed0849/3438f4d8f2d3572cf726fe959d13632760d0c39a.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=b2fc4aec1d7b02080cc93fe952d8f25f/21d97f25b899a90190f2397f0a950a7b0008f59b.jpg']","['今天下午收到的，是跟优购码一样的东西吗？', '现在看着手上某🐟淘的首发钻排机器，我陷入了沉思6999淘的首发+一年碎屏险。', '应该是吧我也收到了 可惜不是40', '同样揭阳的，同样下午收到信息', '出首批的95新lg屏8+256白色全套配件', '我6600淘的lg白色12月激活加碎屏险', '我也收到了', '我2月5号也收到了，，，下单了，，但还没发货，估计年前发不了货了。。']","['../../results\\钓鱼短信\\images\\幸运的公交车的-0.jpg', '../../results\\钓鱼短信\\images\\幸运的公交车的-1.jpg', '../../results\\钓鱼短信\\images\\幸运的公交车的-2.jpg', '../../results\\钓鱼短信\\images\\幸运的公交车的-3.jpg']"
这个是真的优购福利还是钓鱼短信?,"今天下午收到的,是跟优购码一样的东西吗?",华为mate40pro,幸运的公交车的,2021-02-05 16:05,https://tieba.baidu.com/p/7218749619?pid=137806775190&cid=0#137806775190,"['http://tiebapic.baidu.com/forum/w%3D580/sign=04b063d149df8db1bc2e7c6c3922dddb/04c0bbf4e0fe9925e4e10b1923a85edf8fb171f0.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=f3e6e9707c63f6241c5d390bb745eb32/4ce79af2d7ca7bcb0bbfa566a9096b63f424a899.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=4f15dd6a742762d0803ea4b790ed0849/3438f4d8f2d3572cf726fe959d13632760d0c39a.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=b2fc4aec1d7b02080cc93fe952d8f25f/21d97f25b899a90190f2397f0a950a7b0008f59b.jpg']","['今天下午收到的，是跟优购码一样的东西吗？', '现在看着手上某🐟淘的首发钻排机器，我陷入了沉思6999淘的首发+一年碎屏险。', '应该是吧我也收到了 可惜不是40', '同样揭阳的，同样下午收到信息', '出首批的95新lg屏8+256白色全套配件', '我6600淘的lg白色12月激活加碎屏险', '我也收到了', '我2月5号也收到了，，，下单了，，但还没发货，估计年前发不了货了。。']","['../../results\\钓鱼短信\\images\\幸运的公交车的-0.jpg', '../../results\\钓鱼短信\\images\\幸运的公交车的-1.jpg', '../../results\\钓鱼短信\\images\\幸运的公交车的-2.jpg', '../../results\\钓鱼短信\\images\\幸运的公交车的-3.jpg']"
回复:【关于将军令钓鱼短信的推论】欢迎网监玩家介入,"大家可以看到,系统提示对方曾被他人投诉,很明显的高风险V信号,并且我加他微信的时间与收到的时间高度吻合。",梦幻西游,GameJokerSoon,2021-03-24 09:06,https://tieba.baidu.com/p/7273219060?pid=138458739530&cid=0#138458739530,"['http://tiebapic.baidu.com/forum/w%3D580/sign=4ee7649361c6a7efb926a82ecdfbafe9/618f6b600c338744420eee30460fd9f9d52aa0db.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=291187f75010b912bfc1f6f6f3fdfcb5/2e939b504fc2d562613510a1f01190ef77c66ced.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=017a7ea8a41c8701d6b6b2ee177f9e6e/4123d43f8794a4c25217276719f41bd5ac6e39f5.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=cbfbc3ad382eb938ec6d7afae56385fe/0f89720e0cf3d7cae4d7ff3ae51fbe096a63a981.jpg']","['打图唐镇楼', '之前大家可能在贴吧有看到过类似这样的图片，部分玩家帐号被盗，也有很多老哥有各种猜想，在这里我要说的是猪厂泄露玩家帐号信息的可能性很低，但这些盗号团伙是如何获得咱们的手机号并实施钓鱼的呢？我来为大家解惑。', '事情是这样的，昨天我在游戏里喊话，找帮派互开敌对，有一个小号私聊我，我以为他要跟我开敌对，后来我发现在他的帮派宗旨上有他的v信号，于是就申请加了他好友。', '结果不久之后我的手机上就收到这样的一条短信。', '水水水', '大家可以看到，系统提示对方曾被他人投诉，很明显的高风险V信号，并且我加他微信的时间与收到短信的时间高度吻合。', '那他是怎么在10分钟之内获取到我的手机号并开始钓鱼的呢？我翻遍了自己的微信设置和朋友圈，最后发现我在朋友圈发了我的企鹅号出去，那由此获得手机号就太简单了。早些年各大网站都有数据库被扒的新闻，而很多玩家可能跟我一样有的平台是用企鹅号注册的，同时在注册的同时也填写了手机号，而骗子只需要输入你的企鹅号在这些数据库里查询就可以获得你的手机号，俗称“撞库”。', '发此贴的目的，主要是为提醒大家，v信或QQ不要轻易添加陌生人，也切勿在朋友圈和说说上泄露自己的隐私，收到类似的短信无视就好了，以免造成重大损失。我也特别提醒某些以此犯罪牟利的团伙，网络不是法外之地，某些老哥的帐号被盗价值之高，足够你们牢底坐穿，不要有命赚，没命花，莫伸手，伸手必被抓。']","['../../results\\钓鱼短信\\images\\GameJokerSoon-0.jpg', '../../results\\钓鱼短信\\images\\GameJokerSoon-1.jpg', '../../results\\钓鱼短信\\images\\GameJokerSoon-2.jpg', '../../results\\钓鱼短信\\images\\GameJokerSoon-3.jpg']"
手机漂流丢了 一个星期以后发短信钓鱼,这个网站我点开了 是腾讯新闻 不过我没输入任何账号密码 他会不会解开?,苹果,荚嘉三哥,2021-06-30 18:18,https://tieba.baidu.com/p/7429440545?pid=140081167335&cid=0#140081167335,"['http://tiebapic.baidu.com/forum/w%3D580/sign=88218d30ee1bb0518f24b320067ada77/317f34a85edf8db1ea45fd765423dd54564e745c.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=16a80c778eef76093c0b99971edca301/9b1c738da9773912a9478d8bbd198618377ae292.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=b48100ae3f34349b74066e8df9eb1521/f34e0fb30f2442a7489f1c11c643ad4bd0130294.jpg']","['这个网站我点开了 是腾讯新闻  不过我没输入任何账号密码  他会不会解开？', '看样子没解开，我当初点进去输了密码就解开了', '我之前7P丢的时候，第二天就到了另一个城市的手机城，他们这个产业链我也是佩服', '苹果也真牛逼  掉水里泡了好久捞出来还能用', '这定位是我老家', '要不要等我回去帮你千里追凶', '这个回复短信的是不是脑子有shi啊', '前几天11吧有个骗子想让我上他id然后锁我手机 我反手就是电脑登录一套操作他的这个ID归我了', '主要是中国法律不健全  不打击这种非法手机编码的', '腾讯新闻，太假了吧', '虚拟号码回不了', '提问一下，如果选择抹掉iPhone，ID账号会不会一起没有了，还是只删除数据，ID依旧在。', '我觉得七楼说的对。这种服务器短信，智商低于正常人的才会回复', '如果是我我真的会被骗，感谢点醒，居然还有这种骗术', '你输个假的让他锁上']","['../../results\\钓鱼短信\\images\\荚嘉三哥-0.jpg', '../../results\\钓鱼短信\\images\\荚嘉三哥-1.jpg', '../../results\\钓鱼短信\\images\\荚嘉三哥-2.jpg']"
谨防短信“钓鱼”诈骗,,烟台,烟台网警,2021-03-29 16:03,https://tieba.baidu.com/p/7280169848?pid=138536616495&cid=0#138536616495,['http://tiebapic.baidu.com/forum/w%3D580/sign=568c256b7a224f4a5799731b39f69044/cf51af51f3deb48f6823f293e71f3a292cf57864.jpg'],[''],['../../results\\钓鱼短信\\images\\烟台网警.jpg']
回复:手机漂流丢了 一个星期以后发短信钓鱼,这个回复的是不是脑子有shi啊,苹果,520你yi,2021-07-01 22:35,https://tieba.baidu.com/p/7429440545?pid=140098475860&cid=0#140098475860,"['http://tiebapic.baidu.com/forum/w%3D580/sign=88218d30ee1bb0518f24b320067ada77/317f34a85edf8db1ea45fd765423dd54564e745c.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=16a80c778eef76093c0b99971edca301/9b1c738da9773912a9478d8bbd198618377ae292.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=b48100ae3f34349b74066e8df9eb1521/f34e0fb30f2442a7489f1c11c643ad4bd0130294.jpg']","['这个网站我点开了 是腾讯新闻  不过我没输入任何账号密码  他会不会解开？', '看样子没解开，我当初点进去输了密码就解开了', '我之前7P丢的时候，第二天就到了另一个城市的手机城，他们这个产业链我也是佩服', '苹果也真牛逼  掉水里泡了好久捞出来还能用', '这定位是我老家', '要不要等我回去帮你千里追凶', '这个回复短信的是不是脑子有shi啊', '前几天11吧有个骗子想让我上他id然后锁我手机 我反手就是电脑登录一套操作他的这个ID归我了', '主要是中国法律不健全  不打击这种非法手机编码的', '腾讯新闻，太假了吧', '虚拟号码回不了', '提问一下，如果选择抹掉iPhone，ID账号会不会一起没有了，还是只删除数据，ID依旧在。', '我觉得七楼说的对。这种服务器短信，智商低于正常人的才会回复', '如果是我我真的会被骗，感谢点醒，居然还有这种骗术', '你输个假的让他锁上']","['../../results\\钓鱼短信\\images\\荚嘉三哥-0.jpg', '../../results\\钓鱼短信\\images\\荚嘉三哥-1.jpg', '../../results\\钓鱼短信\\images\\荚嘉三哥-2.jpg']"
回复:手机漂流丢了 一个星期以后发短信钓鱼,"回复baby啦啦啦之歌 :赌一下呗,万一赌对呢",苹果,fdrte,2021-07-02 15:00,https://tieba.baidu.com/p/7429440545?pid=140105651657&cid=140106595689#140106595689,"['http://tiebapic.baidu.com/forum/w%3D580/sign=88218d30ee1bb0518f24b320067ada77/317f34a85edf8db1ea45fd765423dd54564e745c.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=16a80c778eef76093c0b99971edca301/9b1c738da9773912a9478d8bbd198618377ae292.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=b48100ae3f34349b74066e8df9eb1521/f34e0fb30f2442a7489f1c11c643ad4bd0130294.jpg']","['这个网站我点开了 是腾讯新闻  不过我没输入任何账号密码  他会不会解开？', '看样子没解开，我当初点进去输了密码就解开了', '我之前7P丢的时候，第二天就到了另一个城市的手机城，他们这个产业链我也是佩服', '苹果也真牛逼  掉水里泡了好久捞出来还能用', '这定位是我老家', '要不要等我回去帮你千里追凶', '这个回复短信的是不是脑子有shi啊', '前几天11吧有个骗子想让我上他id然后锁我手机 我反手就是电脑登录一套操作他的这个ID归我了', '主要是中国法律不健全  不打击这种非法手机编码的', '腾讯新闻，太假了吧', '虚拟号码回不了', '提问一下，如果选择抹掉iPhone，ID账号会不会一起没有了，还是只删除数据，ID依旧在。', '我觉得七楼说的对。这种服务器短信，智商低于正常人的才会回复', '如果是我我真的会被骗，感谢点醒，居然还有这种骗术', '你输个假的让他锁上']","['../../results\\钓鱼短信\\images\\荚嘉三哥-0.jpg', '../../results\\钓鱼短信\\images\\荚嘉三哥-1.jpg', '../../results\\钓鱼短信\\images\\荚嘉三哥-2.jpg']"
